Destination,Prefix,Rate(EUR),Connection Fee(EUR),Increment,Minimal Time,Start Time,End Time,Week Day,Effective from,Blocked
Afghanistan,93,0.31,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Albania,355,0.52,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Algeria,213,1.6,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
American Samoa,1684,0.3,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Andorra,376,0.37,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Angola,244,0.23,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Anguilla,1264,0.42,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Antarctic Territories,672,3,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Antigua & Barbuda,1268,0.49,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Antilles,599,0.35,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Argentina,54,0.05,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Argentina-Mobile,549,0.31,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Argentina-Premium,54115519,2,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Argentina-Premium,54116261,2,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Argentina-Premium,54221587,2,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Armenia,374,0.43,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Aruba,297,0.37,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Ascension Island,247,3.3,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Australia,61,0.06,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Austria,43,0.76,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
Azerbaijan,994,0.4,0,1,0,00:00:00,23:59:59,,03/05/2022 10:48,
